baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneSymbol,gene_type,line
5569.54723791436,-1.82254989063176,0.0640605995755245,-28.4504032542352,4.81742016792638e-178,1.48506240945884e-175,ELF3,protein_coding,RT112
8664.26107089895,-1.72692134713227,0.0607406203341566,-28.4310785374241,8.35220534305385e-178,2.5421364237180997e-175,GLUL,protein_coding,RT112
796.058489339857,3.31044681112235,0.116664810854396,28.3757097523946,4.03314520008388e-177,1.21221220420021e-174,RHOXF1-AS1,antisense,RT112
687.828767324348,-6.62070171311765,0.233714658204743,-28.3281406650911,1.5562985699151e-176,4.61990112513685e-174,ALPPL2,protein_coding,RT112
2606.40175874453,-2.19476073541045,0.0780222114228315,-28.1299478108384,4.21621731839565e-174,1.23632860269297e-171,TGIF1,protein_coding,RT112
2198.72160299913,2.17488051912023,0.0774446723380752,28.0830230596891,1.5791842756424602e-173,4.57487782021964e-171,SEZ6L2,protein_coding,RT112
2344.68116481645,-2.00230950425219,0.0717089054015157,-27.9227453416109,1.41295852379519e-171,4.04459377436373e-169,SOWAHC,protein_coding,RT112
3647.88788755923,-2.22323295518716,0.0796707417722166,-27.9052624054074,2.30326853360183e-171,6.51554022240658e-169,AC006262.5,lincRNA,RT112
11958.999212137,-1.87762159504305,0.0676219013683378,-27.7664714692894,1.1024095993421301e-169,3.0822603274629603e-167,SLC3A2,protein_coding,RT112
864.388501426869,-3.75401668159266,0.13538579757,-27.7282901823707,3.18451983140913e-169,8.80135394784282e-167,JDP2,protein_coding,RT112
2527.72045330216,-1.96999726582354,0.0711123077399879,-27.7026203822066,6.49268080060015e-169,1.77405124830035e-166,CD55,protein_coding,RT112
630.071368167893,-3.53380292074831,0.128286851630467,-27.5461037186219,4.92748867499604e-167,1.33125241786831e-164,FAM129A,protein_coding,RT112
637.275413596854,3.75944974748284,0.13657554718365,27.5265215846259,8.455004384536331e-167,2.25889533806862e-164,DMBT1,protein_coding,RT112
593.956090141154,-6.34550306487759,0.232754269411521,-27.262670974505,1.17598386562828e-163,3.1073112141793403e-161,AC092296.1,lincRNA,RT112
3557.07694073498,2.15975250488654,0.0796106846092756,27.1289276745511,4.48922722302493e-162,1.17329857149603e-159,LCN2,protein_coding,RT112
8673.38778856568,-1.99459466374911,0.0737212139075232,-27.0559118336163,3.2542409959684998e-161,8.41378760731854e-159,COL4A2,protein_coding,RT112
522.595901653389,-5.63858626020337,0.208505104523092,-27.0429171175466,4.62713381855534e-161,1.18361098582089e-158,CD109,protein_coding,RT112
933.35566672286,-2.8905879903233,0.107300257908228,-26.9392455029844,7.624692591862429e-160,1.92984982496139e-157,ABCG2,protein_coding,RT112
1632.36338739506,2.23632268341829,0.0833292996301614,26.8371712392125,1.19077185502935e-158,2.98251138064383e-156,SERPINE2,protein_coding,RT112
3017.05536522126,-1.87244002764612,0.0697964271503845,-26.8271615624641,1.55823698624766e-158,3.8626606530232003e-156,HSPB8,protein_coding,RT112
9822.19813303966,-1.59250383934681,0.0596521846091286,-26.6964881467746,5.1701324820104806e-157,1.268528933979e-154,SLC2A1,protein_coding,RT112
3652.98839594779,-1.7242874582413,0.0646397378030797,-26.6753473458419,9.0961385370381e-157,2.2092591022533502e-154,RND3,protein_coding,RT112
3745.94857762781,-2.06792929073765,0.0775678657505143,-26.6596131107802,1.38464759657739e-156,3.3293851459703405e-154,PIM3,protein_coding,RT112
5177.52215280367,-1.64384723399155,0.061908293701643,-26.5529404172211,2.3750579613622402e-155,5.654284027817329e-153,ETS2,protein_coding,RT112
994.898580835769,-2.91157735804513,0.110060707128246,-26.4542854031681,3.25718347413604e-154,7.678331042705981e-152,C8orf4,protein_coding,RT112
2790.19708617889,-2.13156914084619,0.0807956040457007,-26.3822415343353,2.19080917586856e-153,5.1143695760931505e-151,ATP2B4,protein_coding,RT112
2488.07521776614,-2.25030360814669,0.0855114202929667,-26.3158254235169,1.2638967617939201e-152,2.9221536189745e-150,AVPI1,protein_coding,RT112
5909.02574253707,-1.69025867315202,0.0643951455324258,-26.2482312785659,7.487802292920351e-152,1.7147067250787601e-149,EPHA2,protein_coding,RT112
999.743206766665,-2.65864676928935,0.10143269802988,-26.2109440143865,1.9939892425102703e-151,4.5231576732226e-149,LPIN2,protein_coding,RT112
5054.56825407058,-1.60869659493914,0.0614302090126994,-26.1873859912568,3.6996358669372e-151,8.31380788976683e-149,VEGFA,protein_coding,RT112
655.329873731898,-2.98336366902868,0.113981773073232,-26.1740415909473,5.24937253665354e-151,1.16871446892439e-148,PTGIS,protein_coding,RT112
472.650564120448,4.78309603449644,0.182846667117644,26.1590550700003,7.774313452934211e-151,1.71498501812663e-148,CP,protein_coding,RT112
1682.48776586627,2.16973339893364,0.0834433344273753,26.0024771759578,4.642776040652021e-149,1.01486863543162e-146,FAM111B,protein_coding,RT112
4408.8250433913,-1.89717927230023,0.0731985742558101,-25.9182544412693,4.14712410821159e-148,8.98356749386915e-146,OSBP2,protein_coding,RT112
1325.62105651567,-2.76182362815723,0.107161941874708,-25.77242983695,1.80716109842719e-146,3.87974898318588e-144,ACKR3,protein_coding,RT112
452.445876557116,-4.33463677232022,0.169259002180331,-25.6094902869747,1.196001228543e-144,2.54494243719615e-142,TM4SF1,protein_coding,RT112
1583.28794141786,-2.04770313638566,0.0799987564651866,-25.5966870844645,1.66077400644476e-144,3.50292201622494e-142,TIMP2,protein_coding,RT112
6240.25236028359,-1.47932181836822,0.0578107596842189,-25.589039591397,2.0204149590128202e-144,4.22442414690985e-142,MYC,protein_coding,RT112
1176.72446855741,-2.32999892009538,0.0912733522199885,-25.527701825606,9.7122588843163e-144,2.01320055925332e-141,CABLES1,protein_coding,RT112
425.194483852886,-4.62986420597582,0.181678821743182,-25.4837859556384,2.98209859619681e-143,6.12859493551728e-141,ATF3,protein_coding,RT112
424.567861859019,-5.2007135903857,0.204172070167601,-25.472208740973,4.00700682635068e-143,8.16512535081374e-141,ARHGEF4,protein_coding,RT112
1777.44739992469,-2.03586915260428,0.0801451438021074,-25.402277119013,2.37992232377808e-142,4.80884304833983e-140,PLA2G16,protein_coding,RT112
1717.28579701844,-2.1052404043417,0.0832178986966718,-25.2979279375375,3.3664164864007e-141,6.745457034625399e-139,IGSF3,protein_coding,RT112
4005.17629375361,-1.69457053698344,0.0670845716202237,-25.260212535554,8.74731193486615e-141,1.7382571526765e-138,CDC25B,protein_coding,RT112
859.250745721343,-2.56716293182141,0.101685674784961,-25.2460628033428,1.2511273945159799e-140,2.46584903288006e-138,PADI3,protein_coding,RT112
1254.34543342245,-2.25588270964158,0.0895540194425337,-25.1901893816075,5.13087775981847e-140,1.00302403036451e-137,CCNG2,protein_coding,RT112
1387.49490723465,-2.07767343243749,0.0825525573144962,-25.1678869804394,9.00439452448861e-140,1.74605376081717e-137,MAFF,protein_coding,RT112
8278.1870747281,2.10186987252703,0.0835723753482823,25.1502947447362,1.40274264146944e-139,2.69831574513062e-137,SLPI,protein_coding,RT112
12879.204303439,-1.39841671582208,0.0558750272481016,-25.0275800244839,3.06332818914394e-138,5.84585129428303e-136,TIMP3,protein_coding,RT112
583.880982098284,3.04048110490196,0.122700163427189,24.7797641011798,1.48170344290838e-135,2.80531962871905e-133,CLCA4,protein_coding,RT112
