baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000136002.18	424.567861859019	-5.18548996076107	0.20410300105732	4.00700682635068e-143	8.32676393126653e-141	ARHGEF4	protein_coding
ENSG00000176485.11	1777.44739992469	-2.03053360407493	0.0802281522309608	2.37992232377808e-142	4.90403994129095e-140	PLA2G16	protein_coding
ENSG00000143061.17	1717.28579701844	-2.09972375795193	0.0832506209150864	3.3664164864007e-141	6.87899155525263e-139	IGSF3	protein_coding
ENSG00000101224.17	4005.17629375361	-1.69052803193712	0.0671262168357447	8.74731193486615e-141	1.77266806574258e-138	CDC25B	protein_coding
ENSG00000142619.4	859.250745721343	-2.56001229237549	0.101809590183199	1.25112739451598e-140	2.51466351155134e-138	PADI3	protein_coding
ENSG00000138764.14	1254.34543342245	-2.24974693312501	0.0896264277746384	5.13087775981847e-140	1.02288011015048e-137	CCNG2	protein_coding
ENSG00000185022.11	1387.49490723465	-2.07222575305446	0.082623438422641	9.00439452448861e-140	1.78061901721762e-137	MAFF	protein_coding
ENSG00000124107.5	8278.1870747281	2.09653832252304	0.0836588272739075	1.40274264146944e-139	2.75173218491778e-137	SLPI	protein_coding
ENSG00000100234.11	12879.204303439	-1.39362491877074	0.055886885761978	3.06332818914394e-138	5.96157702587291e-136	TIMP3	protein_coding
ENSG00000016602.9	583.880982098284	3.03165729867926	0.122692172828049	1.48170344290838e-135	2.8608543404375e-133	CLCA4	protein_coding
ENSG00000115008.5	1746.38657658443	-2.10732192016148	0.0854384746488857	2.7272361523224e-135	5.224574819617e-133	IL1A	protein_coding
ENSG00000073150.13	483.726471426106	-3.60528318122193	0.146400825431392	6.3525116874349e-135	1.20751890765575e-132	PANX2	protein_coding
ENSG00000108448.21	1885.81113850763	-2.2884150646552	0.0929834316686948	7.34891540360244e-135	1.38617503547489e-132	TRIM16L	protein_coding
ENSG00000160285.14	1918.7400119434	-1.78376695380271	0.072783395167727	1.9685864279977e-133	3.6848631909108e-131	LSS	protein_coding
ENSG00000134827.7	830.363818759559	2.86036153796951	0.117102919121199	3.13649217548885e-133	5.82650944205772e-131	TCN1	protein_coding
ENSG00000184058.13	613.026147971531	-2.72627380420421	0.112631455319134	2.32991998144114e-130	4.2956366815728e-128	TBX1	protein_coding
ENSG00000156804.7	467.90952695642	-3.15256894397808	0.131254250196777	1.40963320805054e-128	2.57952357422443e-126	FBXO32	protein_coding
ENSG00000100439.10	1137.2612343167	-2.25653394458229	0.0939465191390072	1.43809090617992e-128	2.61210571188429e-126	ABHD4	protein_coding
ENSG00000204388.6	2866.02254955442	1.61985815817819	0.0674556538862612	3.72642332074007e-128	6.7187960476373e-126	HSPA1B	protein_coding
ENSG00000103196.11	464.938999703138	-3.37798577465492	0.141638261333317	1.19883691155417e-126	2.14574305899414e-124	CRISPLD2	protein_coding
ENSG00000198788.8	1713.49811927847	-2.26658712840184	0.095189169602133	2.96776096719499e-126	5.27336715047741e-124	MUC2	protein_coding
ENSG00000142178.8	1056.3141025289	-2.19884996327173	0.0923514075803478	3.56752953609699e-126	6.29348142119671e-124	SIK1	protein_coding
ENSG00000002586.19	3219.74259693184	-1.88172956332198	0.0793518888008906	3.07066083668698e-125	5.37826245545724e-123	CD99	protein_coding
ENSG00000106789.12	6809.76151232358	-1.62806571588281	0.0686810398326311	5.14420394838999e-125	8.9461719871256e-123	CORO2A	protein_coding
ENSG00000137936.16	4357.6467755182	-1.50437502351039	0.0635165244660651	1.0326264252406e-124	1.78317130798061e-122	BCAR3	protein_coding
ENSG00000164741.14	1224.84256254445	-2.21703600219225	0.0938175023860558	2.36467110218101e-124	4.05483217458605e-122	DLC1	protein_coding
ENSG00000153283.12	377.862654670476	4.22817190183307	0.178843043665215	2.86392323693838e-124	4.87682372867819e-122	CD96	protein_coding
ENSG00000134330.18	418.892897980364	-6.05064228508569	0.255389454423681	5.68027525523244e-124	9.60593307127964e-122	IAH1	protein_coding
ENSG00000175745.12	2131.07282424389	1.7324664663737	0.0733968499204414	5.73274237054659e-124	9.62825860740911e-122	NR2F1	protein_coding
ENSG00000148426.12	1822.95530966273	-1.88287593592942	0.0798350413182949	6.77615126882391e-124	1.13032656641382e-121	PROSER2	protein_coding
ENSG00000197063.10	2659.48420137221	-1.69546466434516	0.0719850335465212	1.906619099996e-123	3.15893290209472e-121	MAFG	protein_coding
ENSG00000083857.13	5858.79203281919	-2.28833413278577	0.0973933323788604	3.2926459363621e-122	5.41872288627752e-120	FAT1	protein_coding
ENSG00000124098.9	6148.86789055914	1.41127905236347	0.0602365090174475	4.75445794615388e-122	7.77227088650928e-120	FAM210B	protein_coding
ENSG00000125538.11	1186.78182870079	-2.146071633	0.0920102456009459	2.77541933491627e-121	4.50702367625708e-119	IL1B	protein_coding
ENSG00000100867.14	5789.79528468871	1.54527185303435	0.0662023553492533	2.86186262793066e-121	4.61682457233472e-119	DHRS2	protein_coding
ENSG00000162896.5	857.553741708033	7.9844469279775	0.34010788656434	6.11122406913169e-121	9.79433499341034e-119	PIGR	protein_coding
ENSG00000147394.18	2162.25823048153	-1.69153647378863	0.0725902825849058	6.42838337258702e-121	1.02357395246238e-118	ZNF185	protein_coding
ENSG00000019549.10	1885.49123454332	-1.75796262284269	0.0756140073275755	1.88956671153183e-120	2.98929453764336e-118	SNAI2	protein_coding
ENSG00000114638.7	12093.6890449125	-1.50861068209622	0.0648576905580561	1.93232794603187e-120	3.03734702337484e-118	UPK1B	protein_coding
ENSG00000114019.14	2623.7664058241	-1.80397007319315	0.0778065668259959	1.0144738644006e-119	1.58445309738644e-117	AMOTL2	protein_coding
ENSG00000221890.3	1463.31301358709	2.06292161454131	0.089049182434951	1.67297447417608e-119	2.59639285324505e-117	NPTXR	protein_coding
ENSG00000213626.11	403.658893541108	-3.24628674871779	0.1403276480512	1.83742541930846e-119	2.83367979288445e-117	LBH	protein_coding
ENSG00000167608.11	1841.19822084394	1.80327275518215	0.0779018021010063	2.59454052188293e-119	3.9762955085682e-117	TMC4	protein_coding
ENSG00000127824.13	6385.6611591105	1.41479126289435	0.0611679305186522	4.72387563039313e-119	7.19466797098571e-117	TUBA4A	protein_coding
ENSG00000166501.13	515.712926188111	3.10793315622087	0.134365891500384	7.90861995524734e-119	1.19708191310259e-116	PRKCB	protein_coding
ENSG00000076641.4	2600.082084724	-1.84874803974397	0.0804706775947977	1.20599121286966e-117	1.81423990986362e-115	PAG1	protein_coding
ENSG00000185950.8	1242.09945554657	-2.2679777140483	0.0988181438308001	1.76318366813489e-117	2.63628211745949e-115	IRS2	protein_coding
ENSG00000162981.13	5390.66034324259	-1.42421183255012	0.0620666303707091	3.32163417662389e-117	4.93635100878754e-115	FAM84A	protein_coding
ENSG00000107738.19	2487.62512247772	-1.64207267313508	0.0716212364862827	4.1675977990893e-117	6.15624491755836e-115	VSIR	protein_coding
ENSG00000158825.5	392.718780492509	-5.98201454357691	0.261230855983566	1.7441929202329e-116	2.56103919742699e-114	CDA	protein_coding
ENSG00000079459.12	10442.3218063685	-1.57563512856462	0.0689759638665224	2.72440636060336e-116	3.97649811716399e-114	FDFT1	protein_coding
ENSG00000185567.6	1172.15931749865	-2.25756534637012	0.0991884306339174	1.32987059077424e-115	1.92957140570267e-113	AHNAK2	protein_coding
ENSG00000185650.9	7683.5210536386	-1.4389208163448	0.0633175143302079	5.01316364824322e-115	7.23104622462189e-113	ZFP36L1	protein_coding
ENSG00000135069.13	2011.47746001676	-1.81834059354789	0.0801312738671126	6.63675242938665e-115	9.51694773806959e-113	PSAT1	protein_coding
ENSG00000152377.13	2155.83739065803	-1.74109359396741	0.0769300176286359	3.22569938211928e-114	4.59868456679923e-112	SPOCK1	protein_coding
ENSG00000125505.16	17265.8981464214	1.34486343697915	0.0594133994751166	5.17272215758357e-114	7.33181040613334e-112	MBOAT7	protein_coding
ENSG00000166780.10	1578.35798137878	1.95173491234643	0.0866768464883712	2.68352615184163e-113	3.78176694076486e-111	C16orf45	protein_coding
ENSG00000197712.11	744.136828900347	-2.264585503954	0.100633662176987	5.21712198189839e-113	7.31023132103602e-111	FAM114A1	protein_coding
ENSG00000159388.5	8813.85965970812	-1.29386220556803	0.0574454300614127	5.91916531967594e-113	8.24680981839623e-111	BTG2	protein_coding
ENSG00000168496.3	4690.62575317057	1.44968960528931	0.0644580987570732	9.39094430017887e-113	1.29368171452071e-110	FEN1	protein_coding
ENSG00000233041.8	385.801541231173	3.73173948883072	0.166198170790373	9.33981039225548e-113	1.29368171452071e-110	PHGR1	protein_coding
ENSG00000006695.10	1266.54724747196	-1.94801626294482	0.0868769820034488	3.00438207143372e-112	4.11566775271655e-110	COX10	protein_coding
ENSG00000128272.14	14643.5439376314	-1.6687157904873	0.0744941880422026	5.81465514220886e-112	7.92117548567242e-110	ATF4	protein_coding
ENSG00000168476.11	2198.60519226123	-1.63226036076167	0.0729585482090647	1.13866719809793e-111	1.54261095936792e-109	REEP4	protein_coding
ENSG00000197565.15	2115.95909846589	1.90605408010304	0.0852057791475295	1.36684095880898e-111	1.84155533796456e-109	COL4A6	protein_coding
ENSG00000176092.15	1173.82722607755	-1.93211050976958	0.0866474942442516	5.5370819261178e-111	7.419387208215e-109	CRYBG2	protein_coding
ENSG00000206418.3	1181.037100155	-1.86159771447028	0.0835430559023322	7.10380283924547e-111	9.46697551201839e-109	RAB12	protein_coding
ENSG00000126821.7	1067.48449189688	-2.04962526207882	0.0920710996413166	1.18917732676042e-110	1.57620633672931e-108	SGPP1	protein_coding
ENSG00000178150.9	429.412545516578	-6.65651491815586	0.297852499228378	3.30942514261378e-110	4.36292547967917e-108	ZNF114	protein_coding
ENSG00000257167.2	790.211634514495	2.52864202049647	0.114988409170345	1.49721822378328e-108	1.96327743665186e-106	RP11-181C3.2	antisense
ENSG00000187134.13	9248.51036683986	-1.56551014913195	0.0716251630842741	2.32625012254339e-108	3.03414783270673e-106	AKR1C1	protein_coding
ENSG00000130821.15	755.505292193763	-2.50647870257337	0.11410020089334	8.54518012296978e-108	1.10865799891715e-105	SLC6A8	protein_coding
ENSG00000196154.11	2721.9012976477	-2.18482509807194	0.0997201546070383	1.91712599282334e-107	2.47420244579059e-105	S100A4	protein_coding
ENSG00000173281.4	548.276761034281	-2.87390791826748	0.131360819078144	2.85589240190255e-107	3.66645746529071e-105	PPP1R3B	protein_coding
ENSG00000100097.11	2028.97793309061	-2.13256333557351	0.0976645287573172	1.05221699641171e-106	1.34382359213601e-104	LGALS1	protein_coding
ENSG00000143315.7	1718.34184577603	1.64330828165405	0.0753505044682574	3.66305804914721e-106	4.65398167995537e-104	PIGM	protein_coding
ENSG00000019186.9	1613.64405049825	1.92703239751441	0.0884014623078124	4.62673391240035e-106	5.84804857041077e-104	CYP24A1	protein_coding
ENSG00000173482.16	1141.50934813121	-2.04783758817216	0.0941583483167471	9.76875926599231e-106	1.22840895364819e-103	PTPRM	protein_coding
ENSG00000116514.16	2137.22084322637	-1.6527344130772	0.0759996683138892	1.21569515756471e-105	1.52092147748185e-103	RNF19B	protein_coding
ENSG00000168264.10	4490.28734411058	-1.40768721695163	0.0647787509323731	2.13810651544817e-105	2.66134567844186e-103	IRF2BP2	protein_coding
ENSG00000135643.4	288.440302146902	-4.56350090737156	0.210568494678202	5.91921355451187e-105	7.33055735202957e-103	KCNMB4	protein_coding
ENSG00000128590.4	737.510719678879	-2.27883239833817	0.105424288466615	1.72353910722212e-104	2.12376394212028e-102	DNAJB9	protein_coding
ENSG00000119969.14	3021.11537701605	1.652987449135	0.076462621966086	2.33511120490674e-104	2.86296309277591e-102	HELLS	protein_coding
ENSG00000100350.14	2128.63614953025	1.92361081913928	0.0891789720130759	4.7679248069518e-104	5.8166310542918e-102	FOXRED2	protein_coding
ENSG00000187498.14	3507.04046645367	-1.85427463016719	0.0861398547110287	1.27762796336414e-103	1.55092649948772e-101	COL4A1	protein_coding
ENSG00000197872.11	728.106995776954	-2.2175245673719	0.103329398569182	4.37656991757161e-103	5.2865946280184e-101	FAM49A	protein_coding
ENSG00000004487.16	8748.91349292211	-1.23825621116934	0.0576646791109553	8.09249000487759e-103	9.72725232400017e-101	KDM1A	protein_coding
ENSG00000196878.14	8720.40722539576	-1.54241201026046	0.0720241643141754	1.74317955807795e-102	2.08509785090875e-100	LAMB3	protein_coding
