baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	gene_type
1.38981637692793	1.16878914893813	2.0574825081905	0.56806759925558	0.56998906751072	NA	RP11-552M11.4	sense_overlapping
0.411827470892051	3.65309937480294	3.82410595520305	0.955281945007972	0.339435135451	NA	C1orf162	protein_coding
1.33151482083351	1.15670985099669	2.14320745365746	0.539709699601279	0.589397249728036	NA	RP5-836N10.1	lincRNA
0.967869639413855	1.58572701715699	2.29807920569228	0.690022786520669	0.490179857854366	NA	FAM212B	protein_coding
0.409893362044459	2.70090811636092	2.90696932560379	0.929114763121875	0.352829614365747	NA	RP4-773A18.8	bidirectional_promoter_lncRNA
0.247926084625595	3.28594625606166	3.16401322910948	1.03853745800756	0.299019905695511	NA	KCND3	protein_coding
4.08203066698608	0.253660850700044	1.55287110478292	0.163349585112863	0.87024319487708	NA	WNT2B	protein_coding
0.503209847819094	2.2975469030725	2.61629915744911	0.878166740424517	0.379853238458305	NA	RP11-72M14.1	processed_pseudogene
1.27556416335752	1.1971783163102	2.02323640269076	0.591714499955634	0.554041785206287	NA	RP11-426L16.3	antisense
5.07318096052781	-0.289111577713546	1.49281504908435	-0.193668718633885	0.846435286975682	NA	PPM1J	protein_coding
20.6419330032854	2.55129696326389	1.27199181423297	2.00574951404255	NA	NA	FAM19A3	protein_coding
4.06659810161465	0.0377638406932735	1.5561243383862	0.0242678812751152	0.980638932611607	NA	RP11-426L16.8	lincRNA
1.27121620005676	1.14191287980414	2.02549002542532	0.563771169183789	0.572909875281475	NA	RP3-522D1.1	lincRNA
0.865748872601161	2.10309840894144	2.2713572030248	0.925921473795804	0.354486790749123	NA	AKR7A2P1	processed_pseudogene
1.27949931475435	1.44972176855687	2.07495905493055	0.698674879926917	0.484755236042617	NA	RP11-31F15.2	lincRNA
0.560830451112663	2.50494727130395	2.51716817396884	0.995144979667521	0.319665756961065	NA	RP11-512F24.1	processed_pseudogene
2.35469631475854	0.361966187523416	1.7425838846455	0.20771808503041	0.835449095850385	NA	RP4-730K3.3	transcribed_processed_pseudogene
0.235559770709571	4.60997617254099	3.35368492439966	1.37460026104456	0.16925540764596	NA	BCL2L15	protein_coding
1.00636913173625	1.61951403722083	2.1700687202786	0.746296198865498	0.455488507124214	NA	RP5-1073O3.7	antisense
1.17276032127572	1.50479841770079	2.09739231582429	0.717461586155089	0.473089330782211	NA	RP11-343L14.2	processed_pseudogene
0.241278387660646	3.58469382014429	3.87528698582876	0.925013768851927	0.354958745378841	NA	RNY1P13	misc_RNA
4.71978692968597	-0.239968282112193	1.50357273645985	-0.159598718634122	0.873197188424814	NA	NGF	protein_coding
0.320861282683538	3.00871677602693	3.05598578653662	0.984532319908703	0.324853848348764	NA	NHLH2	protein_coding
0.247721500615723	3.47033819616016	3.1754739556393	1.09285676552227	0.274456693411388	NA	RNU6-817P	snRNA
0.541361606540542	2.36056906170945	2.5291737240197	0.933336069124471	0.350646477612204	NA	RP5-1086K13.1	lincRNA
5.06498102128274	-0.311502015621084	1.50137150978384	-0.207478304730808	0.835636334354182	NA	RP5-1086K13.3	processed_pseudogene
6.7867557144676	3.1547467011007	1.51822607473005	2.07791629560943	0.0377170693531897	NA	RP4-753F5.1	lincRNA
5.3663592120627	-0.241739186454605	1.46537794188841	-0.164967125233972	0.868969857754278	NA	CD101	protein_coding
7.37118725185682	1.80056812538965	1.44758130722167	1.24384593556645	NA	NA	RP11-27K13.3	antisense
1.00109208842162	1.3708626639021	2.25110619126883	0.608972899287977	0.542542402298813	NA	RP11-188D8.1	lincRNA
0.830306015563646	1.70783579431207	2.28741639225333	0.746622171676264	0.455291661071863	NA	RP4-675C20.4	TEC
0.360365803839654	3.56548019398092	2.89344852013466	1.23225976517978	0.21785206435807	NA	AL390877.1	processed_pseudogene
0.235545256308522	4.06590279747661	3.88733599482186	1.04593552059627	0.295590803254818	NA	SPAG17	protein_coding
0.267757177199718	4.00074715194723	3.8845906517292	1.02990186370508	0.303056075783283	NA	RP4-610L12.1	processed_pseudogene
0.281697474429588	4.63082797015111	3.21055061354734	1.44237812374323	0.149195731816301	NA	RP5-871G17.5	transcribed_processed_pseudogene
0.354270424485529	3.63409324304876	3.09900977542358	1.17266272338623	0.240931085510844	NA	RP5-871G17.6	processed_pseudogene
0.337334926389567	3.56508219814158	3.05270932464492	1.16784201147493	0.242870498452702	NA	RP5-920G3.1	processed_pseudogene
1.64678737610234	0.120340613462874	1.84790753691484	0.0651226379344652	0.948076356223075	NA	RP4-599G15.7	sense_overlapping
2.04078691943776	0.190350309112844	1.80328838737039	0.105557330954933	0.915933580505149	NA	RP4-599G15.5	transcribed_unprocessed_pseudogene
3.82038338354153	0.302444230885613	1.57973137171996	0.191452949722915	0.848170739316066	NA	RP5-1042I8.7	sense_overlapping
0.28138579032952	3.16177686788276	3.86698721038334	0.817633132944685	0.413566702458804	NA	RP11-114O18.1	lincRNA
0.558735301458347	2.62539655392347	2.52478373365457	1.03985007465303	0.298409560510395	NA	CH17-472G23.1	unprocessed_pseudogene
2.01356985956671	1.34843685968343	1.86248461262816	0.723998926241138	0.46906639428218	NA	CH17-449C21.2	transcribed_processed_pseudogene
0.996919947398226	1.58496279894668	2.23320072288718	0.709726977384087	0.477873459528783	NA	CH17-118O6.6	TEC
0.391996378317928	3.03885647495476	2.82752486065994	1.07474085099485	0.282490768757108	NA	RNVU1-4	snRNA
0.734747853729021	2.95011583479207	2.5463118013207	1.15858389112517	0.246625838220767	NA	FCGR1B	protein_coding
3.36270086422743	0.313380421752605	1.62472528927638	0.192882097558892	0.847051305837564	NA	RP11-439A17.9	antisense
0.979595294966418	1.39421218846295	2.2073442907501	0.63162425286595	0.527632434877977	NA	RP11-439A17.4	lincRNA
0.626188872191781	2.19979639573768	2.55738791850516	0.860173139874495	0.389693608591897	NA	RP11-343N15.1	antisense
1.63805626812185	1.45994560442109	1.98062169328075	0.737114820752466	0.461052527021822	NA	CH17-437K3.1	lincRNA
0.348316072254229	3.14855169631059	2.96693124998735	1.06121491568907	0.288592242355155	NA	RP11-343N15.2	lincRNA
4.59052795563319	-0.363838482235985	1.50897125097774	-0.241116907959801	0.80946450865933	NA	RP11-344P13.6	lincRNA
0.537185821632959	2.85068008942082	2.6208160270684	1.08770705764095	0.276724451060517	NA	RP11-344P13.1	lincRNA
3.45290265711299	0.130147636436647	1.60360690112584	0.0811593142591705	0.935315255251941	NA	CH17-13I23.3	unprocessed_pseudogene
0.315473762464112	2.8505174030552	3.86229707316722	0.738036807903456	0.460492082152585	NA	RP11-403I13.5	lincRNA
0.498749886197606	3.0465948488632	2.7576444994884	1.10478158059474	0.269254243675199	NA	FCGR1C	unprocessed_pseudogene
3.26876850395493	0.33698724597252	1.63575817520348	0.206012875913397	0.836780853512701	NA	HIST2H2BB	transcribed_unprocessed_pseudogene
