baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000008256.15	2263.85347006055	-0.658570966812247	0.084914854787725	8.54540145417429e-16	1.49313568651991e-13	CYTH3	protein_coding
ENSG00000142871.16	3903.43151911387	0.619270138546157	0.0797962028013605	1.41008596209645e-15	2.43098819865429e-13	CYR61	protein_coding
ENSG00000140575.12	4498.83677702564	0.441722283545188	0.0567322583618443	1.64313252044276e-15	2.79548730122696e-13	IQGAP1	protein_coding
ENSG00000115380.19	1251.11942353357	0.713187234939228	0.0933685413290906	1.95337650973241e-15	3.28015042478443e-13	EFEMP1	protein_coding
ENSG00000142798.18	461.770348750008	1.11821739319164	0.1487299765092	3.24824408652802e-15	5.38458923574453e-13	HSPG2	protein_coding
ENSG00000164761.8	58.7026628264324	4.16938177185005	0.541478578825408	3.52385035645765e-15	5.76751710240473e-13	TNFRSF11B	protein_coding
ENSG00000088325.15	2576.81582461933	-0.663653264023926	0.087356833670913	4.27366345546012e-15	6.90730855988742e-13	TPX2	protein_coding
ENSG00000196937.10	686.1965808183	0.991671355830825	0.131228516449913	4.61194192703637e-15	7.36202581686176e-13	FAM3C	protein_coding
ENSG00000105426.16	226.780010203163	1.82268579456891	0.248267689040489	5.79559491638802e-15	9.13866369132892e-13	PTPRS	protein_coding
ENSG00000163171.7	1293.94380689375	0.810984909193132	0.108810439140074	6.66432103421624e-15	1.03818880689658e-12	CDC42EP3	protein_coding
ENSG00000243910.7	26.5449803808611	-7.24131961147284	1.16165287460199	1.04945526758008e-14	1.61541150116791e-12	TUBA4B	protein_coding
ENSG00000205426.10	110.213322822844	-6.07724731909609	0.866355845001043	1.11001641913668e-14	1.68853085875732e-12	KRT81	protein_coding
ENSG00000120217.13	1341.86402952419	0.711961852163068	0.0966167260819408	1.52001324067245e-14	2.28532223277847e-12	CD274	protein_coding
ENSG00000122641.10	879.996098871223	0.828982822948506	0.11278293307139	2.32207459425527e-14	3.45108327628973e-12	INHBA	protein_coding
ENSG00000112697.15	1093.26286193102	0.741684466562933	0.10098331681584	2.66090509208705e-14	3.90971623189609e-12	TMEM30A	protein_coding
ENSG00000198833.6	1611.54008162391	0.628839311730365	0.0871821238124967	5.91835534190545e-14	8.59823983941995e-12	UBE2J1	protein_coding
ENSG00000101210.11	873.732598075374	1.17882922799834	0.169824061380595	1.45719101172966e-13	2.09349775351827e-11	EEF1A2	protein_coding
ENSG00000138347.15	171.564856187249	1.81098533274788	0.258352133142436	1.52090564874698e-13	2.16102308113169e-11	MYPN	protein_coding
ENSG00000168003.16	2716.16694088738	-0.512275957130352	0.0721837330131054	2.00653550922185e-13	2.82005479719983e-11	SLC3A2	protein_coding
ENSG00000117115.12	683.037914083054	0.971844888869012	0.137883512031994	2.09899120554069e-13	2.91827486963884e-11	PADI2	protein_coding
ENSG00000106105.13	2436.92171340069	-0.539301246780716	0.0768250802019328	2.43427399954222e-13	3.34842157596606e-11	GARS	protein_coding
ENSG00000180370.10	2115.9745391376	0.496396377493438	0.0708860536788344	4.19250047731798e-13	5.70621380754963e-11	PAK2	protein_coding
ENSG00000167996.15	2846.36265056358	-0.620937557659891	0.0890575569164677	4.38378716760625e-13	5.90441334136966e-11	FTH1	protein_coding
ENSG00000039068.18	3547.8127942456	0.434605216833623	0.0617536235873649	4.45480335641805e-13	5.93820694829747e-11	CDH1	protein_coding
ENSG00000119314.15	2097.72128249854	0.677266323012248	0.0971449242438444	4.94490566167404e-13	6.52424798014748e-11	PTBP3	protein_coding
ENSG00000101670.11	389.644779691377	1.07884048092672	0.157307341818216	6.26578420057215e-13	8.18349391044422e-11	LIPG	protein_coding
ENSG00000131711.14	776.497675685335	1.19390420879523	0.177115623170708	7.44310995739846e-13	9.62394117491621e-11	MAP1B	protein_coding
ENSG00000169908.11	278.137673181795	2.19627634479942	0.317230835025853	9.32162840272946e-13	1.19335302225042e-10	TM4SF1	protein_coding
ENSG00000122026.10	2256.19442321741	-0.998051154687914	0.147495910620311	1.24905176338979e-12	1.58335679417942e-10	RPL21	protein_coding
ENSG00000136267.13	123.660266956323	-2.8018262511348	0.425081100292425	1.46896611373352e-12	1.84405163597809e-10	DGKB	protein_coding
ENSG00000197694.15	2908.16606330614	0.612749587678319	0.091606689423387	1.8871089220664e-12	2.34618445791524e-10	SPTAN1	protein_coding
ENSG00000180573.9	241.114627229407	-1.50471012016414	0.228593186669501	2.15937576049403e-12	2.65911700792265e-10	HIST1H2AC	protein_coding
ENSG00000186591.11	963.76019942905	0.715359643834808	0.106613425407029	2.24382078939261e-12	2.73703800064589e-10	UBE2H	protein_coding
ENSG00000163283.6	2174.64904388788	-0.649688206921069	0.097363205007787	2.90991666805825e-12	3.51637593626104e-10	ALPP	protein_coding
ENSG00000164442.9	131.755949110049	1.88883340848987	0.284087927926887	3.09320951510484e-12	3.70325916947274e-10	CITED2	protein_coding
