baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000101210.11	10888.5429845697	1.79870775090656	0.0578254918329545	3.28334955280734e-213	9.50099733096285e-211	EEF1A2	protein_coding
ENSG00000122861.15	6483.80213393491	1.97740877262054	0.063833277034335	1.28322734339512e-211	3.66957729834179e-209	PLAU	protein_coding
ENSG00000121691.4	6345.58590860876	2.00059113025304	0.064624494999035	2.71330416067503e-211	7.66887025971255e-209	CAT	protein_coding
ENSG00000141429.13	21003.6793903657	-2.00104599292092	0.0646659271850482	3.72263992915115e-211	1.04007136503307e-208	GALNT1	protein_coding
ENSG00000166033.11	1050.96001699879	3.59132526828038	0.116177210282858	1.41420334775944e-210	3.90625463340782e-208	HTRA1	protein_coding
ENSG00000115457.9	1347.68442399858	-3.65864873800847	0.119291178733678	1.24178761141285e-207	3.3914754461362e-205	IGFBP2	protein_coding
ENSG00000138074.14	2759.78999350706	-1.9498388490263	0.0636828125516864	9.69426677131452e-207	2.61820602678158e-204	SLC5A6	protein_coding
ENSG00000136689.18	991.946877910922	4.23276189078522	0.139191722600957	1.63029260030011e-204	4.3546727731313e-202	IL1RN	protein_coding
ENSG00000184564.9	1421.46065775369	-3.78085458044068	0.12432648834614	3.91979836979069e-204	1.03563629320111e-201	SLITRK6	protein_coding
ENSG00000088305.18	1453.05154218287	-2.75242715698687	0.0907405109460731	3.30402887380087e-203	8.63559460596535e-201	DNMT3B	protein_coding
ENSG00000221926.11	5019.8167258852	1.86675378314103	0.0615985442375299	1.47594629293326e-202	3.81657729173711e-200	TRIM16	protein_coding
ENSG00000124151.18	22163.6507994511	-1.56123629471706	0.0515296741118255	2.66643991748516e-202	6.82243737624334e-200	NCOA3	protein_coding
ENSG00000163993.6	7216.14752943042	-1.859100729226	0.0614340534516773	4.94050342232042e-202	1.25092517381607e-199	S100P	protein_coding
ENSG00000105220.15	41412.0101831726	1.31385997405246	0.0433725861298572	6.04682325260665e-202	1.51525910104237e-199	GPI	protein_coding
ENSG00000133104.12	2805.08026667991	2.35506866892878	0.0780092357654114	2.73656125216702e-201	6.7875096282065e-199	SPG20	protein_coding
ENSG00000048052.21	689.9966480608	4.45629186663135	0.148058748309993	6.00758945046423e-200	1.47501491689327e-197	HDAC9	protein_coding
ENSG00000164465.18	1283.10393303462	-2.69413450886409	0.0900494481582264	1.14503320137752e-197	2.78323220258833e-195	DCBLD1	protein_coding
ENSG00000160932.10	20751.9549872933	-1.24549227507498	0.0416213374138692	3.10350200530384e-197	7.46899240028915e-195	LY6E	protein_coding
ENSG00000151414.14	6360.85602938498	-2.06006486873883	0.0692791394464898	4.9709923387557e-195	1.18460696841309e-192	NEK7	protein_coding
ENSG00000174827.13	2349.29889006971	-2.79712825488155	0.0942404166654344	9.98419538044985e-195	2.35617317585043e-192	PDZK1	protein_coding
ENSG00000206538.8	3843.55525175341	-1.91368970269216	0.064577051869979	7.41688916039015e-194	1.73348389251542e-191	VGLL3	protein_coding
ENSG00000003096.14	987.21336740089	-3.14654162823145	0.106357981330279	2.38004361750603e-193	5.5096876391161e-191	KLHL13	protein_coding
ENSG00000116990.10	1127.99665199111	-3.66069147546754	0.124046724183734	2.28772495444393e-192	5.24601230827062e-190	MYCL	protein_coding
ENSG00000152518.7	8069.15353305418	-1.76850522850019	0.0599782531174132	4.37897051000419e-192	9.94762955015624e-190	ZFP36L2	protein_coding
ENSG00000106541.11	3471.54739643921	-2.55240849211814	0.0867589905359855	3.15180991844298e-191	7.09361515625867e-189	AGR2	protein_coding
ENSG00000184371.13	727.103262700469	4.26812966901433	0.145333383015459	7.4835777330399e-191	1.6688378344679e-188	CSF1	protein_coding
ENSG00000115919.14	3293.53793175254	2.24048557467211	0.0762275712598218	8.07443676636971e-191	1.7842303134559e-188	KYNU	protein_coding
ENSG00000173269.13	1707.34022924074	-3.1267038738446	0.106570983805133	2.14147488369089e-190	4.68944414395265e-188	MMRN2	protein_coding
ENSG00000134440.11	9988.5510462239	-1.68253928195396	0.0574085392597935	1.25481611699404e-189	2.72328708533698e-187	NARS	protein_coding
ENSG00000144815.15	2790.81042827145	1.91104395383481	0.065409702530676	1.6132584703783e-188	3.47021890614915e-186	NXPE3	protein_coding
ENSG00000158373.8	1436.20040049043	2.89622115826998	0.0993424852751661	5.4746376688326e-188	1.16729840189749e-185	HIST1H2BD	protein_coding
